author,content,timestamp,message_id
notonft,(changing subject),2023-06-21T06:33:12.758000+00:00,1120964623500320880
notonft,I did chest and shoulders today and added more weight,2023-06-21T06:33:03.473000+00:00,1120964584556208139
notonft,I thought obsidian had no humor. Learning something new daily,2023-06-21T05:36:38.793000+00:00,1120950388179341423
notonft,Yes,2023-06-21T05:04:25.501000+00:00,1120942279364980806
notonft,he didnt finish his raki...,2023-06-21T03:43:44.320000+00:00,1120921973980143738
notonft,Wdym bud we barely drank and you didn’t finish your raki,2023-06-21T03:23:38.700000+00:00,1120916917243363328
notonft,gn guys,2023-06-20T21:08:13.401000+00:00,1120822439291650109
notonft,pass,2023-06-20T21:06:21.770000+00:00,1120821971077304450
notonft,"i didnt want to take her bud, it was more like she was coming to me and i couldnt reject and make her feel bad ok",2023-06-20T21:05:53.143000+00:00,1120821851006963746
notonft,and you are cool with it,2023-06-20T20:52:49.980000+00:00,1120818566183272499
notonft,but also i got your girl now,2023-06-20T20:52:43.264000+00:00,1120818538014331010
notonft,My life is ridiculous and she is right to be skeptical and to laugh,2023-06-20T20:52:25.316000+00:00,1120818462734954628
notonft,correct,2023-06-20T20:46:37.217000+00:00,1120817002701926460
notonft,"See bud, now I got your girl.",2023-06-20T20:45:56.871000+00:00,1120816833478545490
notonft,Tell her i said female intuition is usually right,2023-06-20T20:43:28.602000+00:00,1120816211593269369
notonft,female intuition,2023-06-20T20:42:16.263000+00:00,1120815908181524481
notonft,"oh, well idk bud shes probably right its rug",2023-06-20T20:42:04.106000+00:00,1120815857191362641
notonft,what thread?,2023-06-20T20:40:43.020000+00:00,1120815517092024340
notonft,and not in the fun way,2023-06-20T20:39:16.899000+00:00,1120815155874369629
notonft,you got fcked,2023-06-20T20:39:09.606000+00:00,1120815125285318686
notonft,bruh,2023-06-20T20:39:05.685000+00:00,1120815108839444610
notonft,1)what,2023-06-20T20:37:58.042000+00:00,1120814825124139221
notonft,i want to sleep,2023-06-20T20:36:11.676000+00:00,1120814378992803890
notonft,just got back from 16 hours of nonstop turkey things,2023-06-20T20:36:05.696000+00:00,1120814353910865960
notonft,i dont want to type here rn,2023-06-20T20:35:40.577000+00:00,1120814248554156112
